_dim1_member,_dim2_member,_dim3_member,_dim4_member,_dim_5_member,_value,_etl_id
Frodo Baggins,Hobbiton,The One Ring,TA 3020,Hobbit,10,
Frodo Baggins,Bag End,The One Ring,TA 3020,Hobbit,20,
Frodo Baggins,Buckleberry Ferry,The One Ring,TA 3020,Hobbit,30,
Frodo Baggins,Bree,The One Ring,TA 3020,Hobbit,40,
Frodo Baggins,Helms Deep,The One Ring,TA 3021,Hobbit,50,
Frodo Baggins,Minas Tirith,The One Ring,TA 3021,Hobbit,60,
Frodo Baggins,Pelennor Fields,The One Ring,TA 3021,Hobbit,70,
Frodo Baggins,Mount Doom,The One Ring,TA 3021,Hobbit,80,
Frodo Baggins,Rivendell,The One Ring,TA 3021,Hobbit,90,
Frodo Baggins,Moria,The One Ring,TA 3021,Hobbit,100,
Gandalf,Lothlorien,The One Ring,TA 3018,Maia,110,
Gandalf,Minas Tirith,The One Ring,TA 3018,Maia,120,
Gandalf,Pelennor Fields,The One Ring,TA 3018,Maia,130,
Gandalf,Mount Doom,The One Ring,TA 3018,Maia,140,
Gandalf,Minas Morgul,The One Ring,TA 3018,Maia,150,
Gandalf,Barad-dur,The One Ring,TA 3019,Maia,160,
Gandalf,Rivendell,The One Ring,TA 3019,Maia,170,
Gandalf,Moria,The One Ring,TA 3019,Maia,180,
Gandalf,Helms Deep,The One Ring,TA 3019,Maia,190,
Gandalf,Bag End,The One Ring,TA 3019,Maia,200,
Gandalf,Hobbiton,The One Ring,TA 3019,Maia,210,
Samwise Gamgee,Hobbiton,The One Ring,TA 3018,Hobbit,220,
Samwise Gamgee,Bag End,The One Ring,TA 3018,Hobbit,230,
Samwise Gamgee,Buckleberry Ferry,The One Ring,TA 3018,Hobbit,240,
Meriadoc Brandybuck,Hobbiton,No Ring,TA 3018,Hobbit,250,
Meriadoc Brandybuck,Bag End,No Ring,TA 3018,Hobbit,260,
Meriadoc Brandybuck,Buckleberry Ferry,No Ring,TA 3018,Hobbit,270,
Peregin Took,Hobbiton,No Ring,TA 3018,Hobbit,280,
Peregin Took,Bag End,No Ring,TA 3018,Hobbit,290,
Peregin Took,Buckleberry Ferry,No Ring,TA 3018,Hobbit,300,
Aragorn,Minas Tirith,No Ring,TA 3019,Dunedain,310,
Aragorn,Pelennor Fields,No Ring,TA 3019,Dunedain,320,
Aragorn,Fangorn Forest,No Ring,TA 3019,Dunedain,330,
Aragorn,Dead Marshes,No Ring,TA 3019,Dunedain,340,
Aragorn,Bree,No Ring,TA 3019,Dunedain,350,
Aragorn,Edoras,No Ring,TA 3019,Dunedain,360,
Aragorn,Hornburg,No Ring,TA 3019,Dunedain,370,
Aragorn,Westfold,No Ring,TA 3019,Dunedain,380,
Aragorn,Isengard,No Ring,TA 3019,Dunedain,390,
Aragorn,Minas Morgul,No Ring,TA 3019,Dunedain,400,
Aragorn,Minas Tirith,No Ring,TA 3020,Dunedain,410,
Aragorn,Pelennor Fields,No Ring,TA 3020,Dunedain,420,
Aragorn,Fangorn Forest,No Ring,TA 3020,Dunedain,430,
Aragorn,Dead Marshes,No Ring,TA 3020,Dunedain,440,
Aragorn,Bree,No Ring,TA 3020,Dunedain,450,
Aragorn,Edoras,No Ring,TA 3020,Dunedain,460,
Aragorn,Hornburg,No Ring,TA 3020,Dunedain,470,
Aragorn,Westfold,No Ring,TA 3020,Dunedain,480,
Aragorn,Isengard,No Ring,TA 3020,Dunedain,490,
Aragorn,Minas Morgul,No Ring,TA 3020,Dunedain,500,
Legolas,Rivendell,No Ring,TA 3018,Elf,510,
Legolas,Lothlorien,No Ring,TA 3018,Elf,520,
Legolas,Helms Deep,No Ring,TA 3018,Elf,530,
Legolas,Rivendell,No Ring,TA 3019,Elf,540,
Legolas,Lothlorien,No Ring,TA 3019,Elf,550,
Legolas,Helms Deep,No Ring,TA 3019,Elf,560,
Legolas,Rivendell,No Ring,TA 3020,Elf,570,
Legolas,Lothlorien,No Ring,TA 3020,Elf,580,
Legolas,Helms Deep,No Ring,TA 3020,Elf,590,
Legolas,Rivendell,No Ring,TA 3021,Elf,600,
Legolas,Lothlorien,No Ring,TA 3021,Elf,610,
Legolas,Helms Deep,No Ring,TA 3021,Elf,620,
Gimli,Helms Deep,No Ring,TA 3018,Dwarf,630,
Gimli,Mount Doom,No Ring,TA 3018,Dwarf,640,
Gimli,Barad-dur,No Ring,TA 3018,Dwarf,650,
Gimli,Moria,No Ring,TA 3018,Dwarf,660,
